cut_comuna,indicator,variant,population_base,observed,expected,expected_unscaled,expected_scaling_factor,person_years,rate_per_100k,standardisation,years_in_period,years_reported,rate_lo,rate_hi,sir,sir_lo,sir_hi,sir_eb,eb_weight,prior_mean,prior_variance,suppressed,never_reported,period,years,cut_region,script
5101,grd_episodes,sin_rett,base2017,546.0,380.6035031696682,380.453191766813,1.000395085140848,1905540,28.653295128939828,age-sex indirect (national age x sex x year rates of the same source),6,6,26.29997828512017,31.16068816066415,1.4345637795052038,1.3167419691112765,1.560099610833115,1.4299269967378765,0.9893300293627632,1.0,0.2436156509750521,False,False,full,2019-2024,5,lancet_americas/pipeline/15b_spatial_correlation.py
5102,grd_episodes,sin_rett,base2017,29.0,38.366546190589624,38.35139412464018,1.000395085140848,178094,16.283535660943098,age-sex indirect (national age x sex x year rates of the same source),6,5,10.905339392426436,23.3858734368292,0.7558668391973472,0.5062158850856275,1.085550865894779,0.7794621275685146,0.90335074393994,1.0,0.2436156509750521,False,False,full,2019-2024,5,lancet_americas/pipeline/15b_spatial_correlation.py
5103,grd_episodes,sin_rett,base2017,39.0,60.26086167537788,60.23706290689505,1.000395085140848,280447,13.906370900740605,age-sex indirect (national age x sex x year rates of the same source),6,6,9.888789143558846,19.010466813990828,0.6471862319209932,0.4602126773233295,0.8847248841716556,0.6696864082266104,0.936226478835773,1.0,0.2436156509750521,False,False,full,2019-2024,5,lancet_americas/pipeline/15b_spatial_correlation.py
5104,grd_episodes,sin_rett,base2017,0.0,1.3387636972248362,1.33823498046909,1.000395085140848,6361,0.0,age-sex indirect (national age x sex x year rates of the same source),6,0,0.0,57.992131018926834,0.0,0.0,2.755437320089218,0.7540660430953151,0.2459339569046849,1.0,0.2436156509750521,True,True,full,2019-2024,5,lancet_americas/pipeline/15b_spatial_correlation.py
5105,grd_episodes,sin_rett,base2017,18.0,25.872238547540444,25.862020847391346,1.000395085140848,123004,14.633670449741471,age-sex indirect (national age x sex x year rates of the same source),6,4,8.672840542095813,23.127508266014104,0.6957264237852807,0.4123315715722513,1.0995476953126804,0.737391285189898,0.8630677631526725,1.0,0.2436156509750521,False,False,full,2019-2024,5,lancet_americas/pipeline/15b_spatial_correlation.py
5107,grd_episodes,sin_rett,base2017,44.0,48.827180810170056,48.807897535097915,1.000395085140848,222391,19.78497331276895,age-sex indirect (national age x sex x year rates of the same source),6,6,14.375791897219012,26.560403199908155,0.9011374253013472,0.6547678327454307,1.2097349324744278,0.9088041234791374,0.9224509557720976,1.0,0.2436156509750521,False,False,full,2019-2024,5,lancet_americas/pipeline/15b_spatial_correlation.py
5109,grd_episodes,sin_rett,base2017,545.0,416.92462818677546,416.7599725143349,1.000395085140848,2190845,24.876246379821485,age-sex indirect (national age x sex x year rates of the same source),6,6,22.831308070833096,27.055197882717117,1.307190708234796,1.1997338067550245,1.4216897011612304,1.3041957524882772,0.9902505002064396,1.0,0.2436156509750521,False,False,full,2019-2024,5,lancet_americas/pipeline/15b_spatial_correlation.py
5201,grd_episodes,sin_rett,base2017,9.0,11.933790286310956,11.929077285131577,1.000395085140848,51011,17.643253415929898,age-sex indirect (national age x sex x year rates of the same source),6,3,8.067618939794032,33.49239076163802,0.7541610656862089,0.3448504623127998,1.4316326197735223,0.8170795954330278,0.7440660490884282,1.0,0.2436156509750521,False,False,full,2019-2024,5,lancet_americas/pipeline/15b_spatial_correlation.py
5301,grd_episodes,sin_rett,base2017,75.0,88.32988505783817,88.29500101492603,1.000395085140848,410406,18.274586628850457,age-sex indirect (national age x sex x year rates of the same source),6,6,14.374121650621934,22.907352584716783,0.8490897497589882,0.6678629510592421,1.0643413538608502,0.8557913491446212,0.9555921524553156,1.0,0.2436156509750521,False,False,full,2019-2024,5,lancet_americas/pipeline/15b_spatial_correlation.py
5302,grd_episodes,sin_rett,base2017,10.0,23.78718014382478,23.777785893935825,1.000395085140848,101551,9.847268859981684,age-sex indirect (national age x sex x year rates of the same source),6,5,4.722148177893308,18.10947803765377,0.4203945124868459,0.2015955093095526,0.7731204762743585,0.5056942198825661,0.8528314358069559,1.0,0.2436156509750521,False,False,full,2019-2024,5,lancet_americas/pipeline/15b_spatial_correlation.py
5303,grd_episodes,sin_rett,base2017,6.0,16.67438197631805,16.667796777480596,1.000395085140848,69284,8.66000808267421,age-sex indirect (national age x sex x year rates of the same source),6,4,3.178070338737444,18.849191765080946,0.3598334264215344,0.1320525256419165,0.7832058807976527,0.4862950652726907,0.8024551045452925,1.0,0.2436156509750521,False,False,full,2019-2024,5,lancet_americas/pipeline/15b_spatial_correlation.py
5304,grd_episodes,sin_rett,base2017,13.0,28.659776665636507,28.648458085538707,1.000395085140848,126346,10.289205831605274,age-sex indirect (national age x sex x year rates of the same source),6,4,5.4785687643485375,17.5948553323088,0.4535973937154643,0.2415215084108916,0.7756653576722894,0.5220519977882936,0.8747176472339482,1.0,0.2436156509750521,False,False,full,2019-2024,5,lancet_americas/pipeline/15b_spatial_correlation.py
5401,grd_episodes,sin_rett,base2017,26.0,47.17979848163823,47.16116580580329,1.000395085140848,227870,11.410014481941458,age-sex indirect (national age x sex x year rates of the same source),6,6,7.453400278929363,16.7183148651095,0.5510833203350554,0.3599859211396657,0.8074647478189527,0.5870146568253126,0.9199598987565464,1.0,0.2436156509750521,False,False,full,2019-2024,5,lancet_americas/pipeline/15b_spatial_correlation.py
5402,grd_episodes,sin_rett,base2017,23.0,27.843529691669715,27.83253347126307,1.000395085140848,124172,18.52269432722353,age-sex indirect (national age x sex x year rates of the same source),6,6,11.741799308253611,27.79313604905537,0.8260446952916745,0.5236414778765194,1.2394726271058296,0.8483950269576852,0.8715168146008192,1.0,0.2436156509750521,False,False,full,2019-2024,5,lancet_americas/pipeline/15b_spatial_correlation.py
5403,grd_episodes,sin_rett,base2017,9.0,7.539394799213179,7.536417272733493,1.000395085140848,37743,23.845481281297193,age-sex indirect (national age x sex x year rates of the same source),6,3,10.903672462121014,45.26615121060639,1.1937297673997986,0.5458492633663141,2.266070938903765,1.1254360556128633,0.6474795138426089,1.0,0.2436156509750521,False,False,full,2019-2024,5,lancet_americas/pipeline/15b_spatial_correlation.py
5404,grd_episodes,sin_rett,base2017,4.0,12.574702757329163,12.56973664115787,1.000395085140848,63498,6.2994110050710255,age-sex indirect (national age x sex x year rates of the same source),6,3,1.7163774821668791,16.128994102812207,0.3180989703846956,0.0866712633021163,0.8144597031873686,0.4859145853157649,0.7539003350299343,1.0,0.2436156509750521,True,False,full,2019-2024,5,lancet_americas/pipeline/15b_spatial_correlation.py
5405,grd_episodes,sin_rett,base2017,0.0,9.289102993348976,9.285434456169028,1.000395085140848,48803,0.0,age-sex indirect (national age x sex x year rates of the same source),6,0,0.0,7.558714534176047,0.0,0.0,0.3971190174934204,0.3064691776340726,0.6935308223659273,1.0,0.2436156509750521,True,True,full,2019-2024,5,lancet_americas/pipeline/15b_spatial_correlation.py
5501,grd_episodes,sin_rett,base2017,152.0,126.51087507740296,126.46091225007488,1.000395085140848,593012,25.63185905175612,age-sex indirect (national age x sex x year rates of the same source),6,6,21.719050291389483,30.045975183063703,1.2014777378387596,1.018067217029154,1.408386735476902,1.1951459479886577,0.9685732532138652,1.0,0.2436156509750521,False,False,full,2019-2024,5,lancet_americas/pipeline/15b_spatial_correlation.py
5502,grd_episodes,sin_rett,base2017,53.0,70.0292906241174,70.00163401868154,1.000395085140848,322191,16.449869797728677,age-sex indirect (national age x sex x year rates of the same source),6,6,12.322081291022242,21.516834712702792,0.7568261727007602,0.5669147377980859,0.9899472679411848,0.7702907748036051,0.9446297233037506,1.0,0.2436156509750521,False,False,full,2019-2024,5,lancet_americas/pipeline/15b_spatial_correlation.py
5503,grd_episodes,sin_rett,base2017,21.0,25.148603928745096,25.138672012972123,1.000395085140848,115403,18.197100595305148,age-sex indirect (national age x sex x year rates of the same source),6,5,11.264292075661974,27.81620125555086,0.8350364123392471,0.5169007003692093,1.2764418583988242,0.8581840195743542,0.8596805054779115,1.0,0.2436156509750521,False,False,full,2019-2024,5,lancet_americas/pipeline/15b_spatial_correlation.py
