series,year,sex,age_group,population,count,rate,rate_lo,rate_hi
05990027,2021,HOMBRE,5-9,651336.0,133,20.41956839480698,17.09687790236753,24.199496700473887
05990027,2021,HOMBRE,50-54,602079.0,0,0.0,0.0,0.6126902705648155
05990027,2021,HOMBRE,55-59,566471.0,1,0.17653154353885725,0.004469391722487096,0.9835708078505163
05990027,2021,HOMBRE,60-64,483184.0,0,0.0,0.0,0.7634523192228914
05990027,2021,HOMBRE,65-69,393552.0,0,0.0,0.0,0.9373296169537787
05990027,2021,HOMBRE,70-74,278885.0,0,0.0,0.0,1.3227242247212778
05990027,2021,HOMBRE,75-79,184713.0,0,0.0,0.0,1.9970870778526337
05990027,2021,HOMBRE,80+,205192.0,0,0.0,0.0,1.7977696275263828
05990027,2021,MUJER,0-4,578263.0,17,2.9398387930751233,1.7125644334165067,4.706966694377233
05990027,2021,MUJER,10-14,632388.0,21,3.320746124214881,2.055594189655115,5.076113198691848
05990027,2021,MUJER,15-19,610954.0,20,3.2735688775259675,1.9995809153232396,5.05576162897282
05990027,2021,MUJER,20-24,697050.0,7,1.0042321210817013,0.40375339667453775,2.069101981450739
05990027,2021,MUJER,25-29,802756.0,4,0.49828341364001016,0.13576545969464257,1.2758034415692556
05990027,2021,MUJER,30-34,817367.0,6,0.7340643798929979,0.2693886899631195,1.5977491166781488
05990027,2021,MUJER,35-39,722171.0,2,0.2769427185528081,0.03353904802934,1.0004123216972103
05990027,2021,MUJER,40-44,678365.0,3,0.44223979715934636,0.09120047804583098,1.292412354667815
05990027,2021,MUJER,45-49,651942.0,4,0.6135515122510898,0.16717213703463266,1.570935554911893
05990027,2021,MUJER,5-9,627814.0,24,3.8227882780568767,2.449332581733836,5.688005937069453
05990027,2021,MUJER,50-54,622931.0,2,0.32106284644687777,0.03888220020258503,1.1597893936445547
05990027,2021,MUJER,55-59,601133.0,1,0.1663525376247852,0.004211681605283669,0.9268570168230488
05990027,2021,MUJER,60-64,530360.0,1,0.18855117278829475,0.004773702387866709,1.0505398957196805
05990027,2021,MUJER,65-69,450783.0,0,0.0,0.0,0.8183271006479693
05990027,2021,MUJER,70-74,336455.0,0,0.0,0.0,1.0963960868805442
05990027,2021,MUJER,75-79,246241.0,0,0.0,0.0,1.4980768653936327
05990027,2021,MUJER,80+,362878.0,0,0.0,0.0,1.0165618897023063
05990027,2022,HOMBRE,0-4,599782.0,64,10.670543630852544,8.217618825879311,13.62604599819351
05990027,2022,HOMBRE,10-14,660773.0,156,23.608712825735918,20.0493245520474,27.61784910053913
05990027,2022,HOMBRE,15-19,626479.0,94,15.004493366896575,12.125157970034145,18.361699870040695
05990027,2022,HOMBRE,20-24,700037.0,19,2.7141422524809404,1.6340909358172113,4.238469333990287
05990027,2022,HOMBRE,25-29,808991.0,8,0.9888861557174308,0.4269308529697489,1.9484999487254262
05990027,2022,HOMBRE,30-34,860590.0,2,0.23239870321523606,0.02814456112015768,0.8395040225570783
05990027,2022,HOMBRE,35-39,750870.0,5,0.6658942293606084,0.21621404372506833,1.553974999576847
05990027,2022,HOMBRE,40-44,693436.0,1,0.14420941514429594,0.003651066282150029,0.8034834347998803
05990027,2022,HOMBRE,45-49,655076.0,0,0.0,0.0,0.5631223635294127
05990027,2022,HOMBRE,5-9,643572.0,283,43.973323886060925,38.99881119314722,49.406533560549704
05990027,2022,HOMBRE,50-54,602705.0,0,0.0,0.0,0.612053899356059
05990027,2022,HOMBRE,55-59,575473.0,0,0.0,0.0,0.6410169467749026
05990027,2022,HOMBRE,60-64,495545.0,0,0.0,0.0,0.7444085711921088
05990027,2022,HOMBRE,65-69,406952.0,0,0.0,0.0,0.9064654932556998
05990027,2022,HOMBRE,70-74,294260.0,0,0.0,0.0,1.253612266061964
05990027,2022,HOMBRE,75-79,194048.0,0,0.0,0.0,1.9010139007430817
05990027,2022,HOMBRE,80+,214389.0,0,0.0,0.0,1.720647726382387
05990027,2022,MUJER,0-4,577504.0,22,3.80949742339447,2.3873917535167912,5.767624880022517
05990027,2022,MUJER,10-14,637702.0,39,6.115709218412362,4.348867102414055,8.360375828495574
05990027,2022,MUJER,15-19,605608.0,29,4.788576108637931,3.2069845737751046,6.877194065895199
05990027,2022,MUJER,20-24,678709.0,5,0.7366927505013194,0.23920213082755945,1.7191951306557995
05990027,2022,MUJER,25-29,785739.0,0,0.0,0.0,0.46947898145744776
05990027,2022,MUJER,30-34,835861.0,4,0.478548466790531,0.13038835088924175,1.2252741395284257
05990027,2022,MUJER,35-39,732919.0,1,0.13644072537347238,0.003454380086242801,0.7601990657820166
05990027,2022,MUJER,40-44,686173.0,0,0.0,0.0,0.537601953751304
05990027,2022,MUJER,45-49,661003.0,1,0.1512852437886061,0.0038302107530964117,0.8429074287013671
05990027,2022,MUJER,5-9,620033.0,84,13.547666011325203,10.806148985583993,16.772932371323414
05990027,2022,MUJER,50-54,622004.0,0,0.0,0.0,0.5930636224387521
05990027,2022,MUJER,55-59,608970.0,3,0.49263510517759496,0.10159320211104017,1.439688830277735
05990027,2022,MUJER,60-64,542388.0,1,0.18436986069013325,0.004667840731043068,1.0272431158025064
05990027,2022,MUJER,65-69,464538.0,10,2.152676422596214,1.032292018334869,3.95884858548015
05990027,2022,MUJER,70-74,354224.0,0,0.0,0.0,1.0413973796563574
05990027,2022,MUJER,75-79,256314.0,0,0.0,0.0,1.439203264009744
05990027,2022,MUJER,80+,375896.0,0,0.0,0.0,0.9813564002048267
05990027,2023,HOMBRE,0-4,601871.0,128,21.267015689408527,17.742561743796266,25.28655117406787
05990027,2023,HOMBRE,10-14,660567.0,325,49.20015683496148,43.99594935744099,54.85068080603694
05990027,2023,HOMBRE,15-19,628233.0,221,35.17803108082511,30.692663687490807,40.13449157479122
05990027,2023,HOMBRE,20-24,680267.0,43,6.321047471066508,4.5745733972053895,8.514409461341447
05990027,2023,HOMBRE,25-29,789133.0,14,1.7740989161522835,0.9699163862492881,2.9766365266483064
05990027,2023,HOMBRE,30-34,866894.0,8,0.9228348563953609,0.3984145901054225,1.8183525575437496
05990027,2023,HOMBRE,35-39,767066.0,1,0.13036687846938855,0.003300603596599233,0.7263577568213032
05990027,2023,HOMBRE,40-44,704660.0,0,0.0,0.0,0.523497779654576
05990027,2023,HOMBRE,45-49,662549.0,6,0.9055933976204024,0.3323368163699365,1.9710955751980133
05990027,2023,HOMBRE,5-9,633429.0,599,94.56466312720131,87.14235857863608,102.45017802601474
05990027,2023,HOMBRE,50-54,605734.0,1,0.1650889664440167,0.004179690752754489,0.919816848804739
05990027,2023,HOMBRE,55-59,581931.0,2,0.3436833576489309,0.041621649051857515,1.2415024578040972
05990027,2023,HOMBRE,60-64,508419.0,1,0.19668816468306652,0.004979713186228264,1.0958763128323092
05990027,2023,HOMBRE,65-69,419254.0,0,0.0,0.0,0.8798674441064213
