definition,unit,year,sex,age_group,population,count,rate,rate_lo,rate_hi
TEA_operacional,persons,2023,MUJER,50-54,623409.0,4.0,0.6416333418349751,0.17482349045752063,1.642836191874627
TEA_operacional,persons,2023,MUJER,55-59,614189.0,4.0,0.651265327122433,0.17744788226854027,1.667497899735048
TEA_operacional,persons,2023,MUJER,60-64,554778.0,2.0,0.36050456218523447,0.043658774959346794,1.3022664322889446
TEA_operacional,persons,2023,MUJER,65-69,477077.0,0.0,0.0,0.0,0.7732251720611003
TEA_operacional,persons,2023,MUJER,70-74,372694.0,0.0,0.0,0.0,0.9897877223979821
TEA_operacional,persons,2023,MUJER,75-79,267102.0,1.0,0.37438881026723875,0.009478704009812685,2.0859609403669377
TEA_operacional,persons,2023,MUJER,80+,389542.0,2.0,0.5134234562640229,0.06217796246462897,1.8546620563954492
TEA_operacional,persons,2024,HOMBRE,0-4,603305.0,927.0,153.65362461773066,143.92029576175207,163.87200501085806
TEA_operacional,persons,2024,HOMBRE,10-14,657714.0,1091.0,165.8775698859991,156.17945165189545,176.02023481326813
TEA_operacional,persons,2024,HOMBRE,15-19,635804.0,517.0,81.31436732074664,74.45527825128036,88.6354114178868
TEA_operacional,persons,2024,HOMBRE,20-24,661712.0,195.0,29.469013709891918,25.47780564362511,33.90810960527539
TEA_operacional,persons,2024,HOMBRE,25-29,767831.0,100.0,13.023699225480607,10.596601498366585,15.84030780112113
TEA_operacional,persons,2024,HOMBRE,30-34,861519.0,55.0,6.384072783072689,4.809357306273974,8.309748244201156
TEA_operacional,persons,2024,HOMBRE,35-39,790820.0,34.0,4.2993348676057765,2.9774143780597693,6.0078895444226355
TEA_operacional,persons,2024,HOMBRE,40-44,715861.0,20.0,2.7938384686412587,1.706549118530545,4.314856920921045
TEA_operacional,persons,2024,HOMBRE,45-49,667483.0,12.0,1.7977985956196638,0.928948768541254,3.1403923467978903
TEA_operacional,persons,2024,HOMBRE,5-9,622349.0,1870.0,300.47449260784543,287.00863932336665,314.4090367774486
TEA_operacional,persons,2024,HOMBRE,50-54,612505.0,12.0,1.9591676802638345,1.0123305293380818,3.422271662790828
TEA_operacional,persons,2024,HOMBRE,55-59,585699.0,6.0,1.0244169786870048,0.3759429764248958,2.229724486898336
TEA_operacional,persons,2024,HOMBRE,60-64,521387.0,9.0,1.7261650175397545,0.789312563868745,3.2767988943758026
TEA_operacional,persons,2024,HOMBRE,65-69,430924.0,5.0,1.160297407431473,0.3767454098909368,2.707747092137516
TEA_operacional,persons,2024,HOMBRE,70-74,326872.0,1.0,0.30593015002814555,0.007745480795017584,1.7045336984932629
TEA_operacional,persons,2024,HOMBRE,75-79,213855.0,2.0,0.9352131116878258,0.11325864653338243,3.3783113173523933
TEA_operacional,persons,2024,HOMBRE,80+,234860.0,0.0,0.0,0.0,1.5706716572059676
TEA_operacional,persons,2024,MUJER,0-4,580776.0,282.0,48.55572544320013,43.053389227688655,54.56637237595517
TEA_operacional,persons,2024,MUJER,10-14,634559.0,691.0,108.8945235982785,100.92556536949233,117.32543734809401
TEA_operacional,persons,2024,MUJER,15-19,614278.0,444.0,72.2799774694845,65.71229197276647,79.32635341507532
TEA_operacional,persons,2024,MUJER,20-24,641616.0,152.0,23.69018228971846,20.073778477153716,27.769918199139315
TEA_operacional,persons,2024,MUJER,25-29,746460.0,95.0,12.726736864667899,10.296690119139692,15.55777585182803
TEA_operacional,persons,2024,MUJER,30-34,838059.0,57.0,6.8014304482142665,5.151337001681832,8.812042040353104
TEA_operacional,persons,2024,MUJER,35-39,770683.0,40.0,5.190201418741558,3.7079559873240964,7.067581218735079
TEA_operacional,persons,2024,MUJER,40-44,705304.0,20.0,2.8356566813742727,1.7320927692745176,4.3794417588266334
TEA_operacional,persons,2024,MUJER,45-49,669888.0,10.0,1.4927868539218496,0.7158493205031936,2.7452881738466397
TEA_operacional,persons,2024,MUJER,5-9,599322.0,476.0,79.42308141533266,72.44745271838761,86.8890845559608
TEA_operacional,persons,2024,MUJER,50-54,628569.0,8.0,1.2727321901016435,0.5494754238195809,2.507789792400407
TEA_operacional,persons,2024,MUJER,55-59,616599.0,5.0,0.8108997906256741,0.26329695476613174,1.892369608014718
TEA_operacional,persons,2024,MUJER,60-64,567088.0,2.0,0.3526789492988742,0.042711056933661964,1.2739976278327103
TEA_operacional,persons,2024,MUJER,65-69,488891.0,3.0,0.6136337138544175,0.12654602414354146,1.793298111387267
TEA_operacional,persons,2024,MUJER,70-74,392267.0,3.0,0.7647852100737508,0.1577170964918286,2.2350269254722734
TEA_operacional,persons,2024,MUJER,75-79,277579.0,1.0,0.36025780048202494,0.00912093781744652,2.007227993089858
TEA_operacional,persons,2024,MUJER,80+,403939.0,6.0,1.4853727914363308,0.5451056356258868,3.233031230586471
TEA_operacional,persons,2019,TOTAL,0-4,1202176.0,517.0,43.00535029812607,39.37773149129334,46.87728678757361
TEA_operacional,persons,2019,TOTAL,10-14,1236524.0,430.0,34.77490125545481,31.565307676025807,38.22235761303752
TEA_operacional,persons,2019,TOTAL,15-19,1272967.0,200.0,15.71132637373946,13.609220245415422,18.04618514584038
TEA_operacional,persons,2019,TOTAL,20-24,1446985.0,73.0,5.044972822800513,3.954453358016783,6.343295900301769
TEA_operacional,persons,2019,TOTAL,25-29,1627783.0,54.0,3.317395500505903,2.4921296003548847,4.328481523256522
TEA_operacional,persons,2019,TOTAL,30-34,1515386.0,34.0,2.2436527722969593,1.553794768103458,3.135279862371903
TEA_operacional,persons,2019,TOTAL,35-39,1396728.0,16.0,1.1455344204454982,0.654771899299042,1.8602761308974216
TEA_operacional,persons,2019,TOTAL,40-44,1328559.0,8.0,0.6021561707082637,0.25996829472748306,1.1864877073726732
