year,definition,unit,role,sex,count,population,crude,crude_lo,crude_hi,asr,asr_lo,asr_hi,asr_var,groups_missing
2023,F84_historico,records,cualquiera,HOMBRE,4499.0,9848466.0,45.682241274935606,44.35701894958489,47.037000031784984,60.66737768354976,58.900600700600826,62.47484832356143,0.8244980102028892,0
2023,F84_historico,records,cualquiera,MUJER,1972.0,10112423.0,19.50076653241266,18.64948158082223,20.380890300256578,26.98793327723717,25.802962989076917,28.21479274154558,0.3736956475596506,0
2023,F84_historico,records,cualquiera,TOTAL,6471.0,19960889.0,32.41839579389475,31.633284600359353,33.218067796394834,44.133787077414304,43.060070850198656,45.228139237502795,0.3037753732753905,0
2024,F84_historico,records,cualquiera,HOMBRE,5858.0,9910500.0,59.1090257807376,57.60494932133771,60.64243563612983,79.1347992582801,77.11385452492635,81.1964048859378,1.0768308872502554,0
2024,F84_historico,records,cualquiera,MUJER,2953.0,10175877.0,29.019611774002378,27.982284833194786,30.085558287678886,39.98848322462131,38.54976692199937,41.46874716968121,0.5486435437646316,0
2024,F84_historico,records,cualquiera,TOTAL,8811.0,20086377.0,43.865551263923805,42.954352498323786,44.79121122554092,59.92783077768714,58.67715920111689,61.199073216064946,0.4114371448979757,0
2019,F84_historico,records,principal,HOMBRE,184.0,9424139.0,1.952433002102367,1.6805057786293862,2.255829920246975,2.376383284545315,2.0437759616184215,2.7493251290960785,0.031007138599295363,0
2019,F84_historico,records,principal,MUJER,50.0,9683077.0,0.5163647877632286,0.38325589827966733,0.6807625991648814,0.6819646714017951,0.5056060506658877,0.9016251946317659,0.009365989381896278,0
2019,F84_historico,records,principal,TOTAL,234.0,19107216.0,1.2246682091205752,1.072769625465458,1.392046510986591,1.543762210301799,1.351380339062567,1.7566545000927587,0.010284512578184399,0
2020,F84_historico,records,principal,HOMBRE,119.0,9599101.0,1.2396994260191658,1.026988185427284,1.4834851916881329,1.5395080537162658,1.2743092847523119,1.8454904959725662,0.020082638108222414,0
2020,F84_historico,records,principal,MUJER,36.0,9859209.0,0.36514085460608453,0.2557401655377752,0.505508854607263,0.4844300632496673,0.33879000709686813,0.6736810857073436,0.006568172090578397,0
2020,F84_historico,records,principal,TOTAL,155.0,19458310.0,0.796574831010504,0.6761078025778126,0.9323158459319203,1.021079334588787,0.8660512232572901,1.1967869263024677,0.006781947606216214,0
2021,F84_historico,records,principal,HOMBRE,149.0,9708512.0,1.53473570409142,1.2982046485265304,1.8018954337694346,1.8659442980311804,1.5758402106562455,2.196336102479531,0.0237985579744235,0
2021,F84_historico,records,principal,MUJER,37.0,9969851.0,0.3711188863303975,0.26130194490475367,0.5115384988394593,0.5114107452743086,0.3594739992141428,0.7077688081319794,0.007131164546674169,0
