year,cut_region,sex,age_group,population
2017,16,HOMBRE,65-69,10595.0
2017,16,HOMBRE,70-74,7913.0
2017,16,HOMBRE,75-79,5605.0
2017,16,HOMBRE,80+,6246.0
2017,16,MUJER,0-4,14524.0
2017,16,MUJER,10-14,16478.0
2017,16,MUJER,15-19,17238.0
2017,16,MUJER,20-24,17871.0
2017,16,MUJER,25-29,18704.0
2017,16,MUJER,30-34,17079.0
2017,16,MUJER,35-39,16428.0
2017,16,MUJER,40-44,17766.0
2017,16,MUJER,45-49,19058.0
2017,16,MUJER,5-9,16308.0
2017,16,MUJER,50-54,17927.0
2017,16,MUJER,55-59,16304.0
2017,16,MUJER,60-64,13968.0
2017,16,MUJER,65-69,11466.0
2017,16,MUJER,70-74,8868.0
2017,16,MUJER,75-79,7232.0
2017,16,MUJER,80+,9911.0
2018,1,HOMBRE,0-4,14421.0
2018,1,HOMBRE,10-14,12932.0
2018,1,HOMBRE,15-19,12926.0
2018,1,HOMBRE,20-24,14874.0
2018,1,HOMBRE,25-29,16756.0
2018,1,HOMBRE,30-34,15476.0
2018,1,HOMBRE,35-39,14376.0
2018,1,HOMBRE,40-44,12802.0
2018,1,HOMBRE,45-49,11088.0
2018,1,HOMBRE,5-9,14802.0
2018,1,HOMBRE,50-54,9885.0
2018,1,HOMBRE,55-59,8834.0
2018,1,HOMBRE,60-64,7507.0
2018,1,HOMBRE,65-69,5237.0
2018,1,HOMBRE,70-74,3256.0
2018,1,HOMBRE,75-79,2009.0
2018,1,HOMBRE,80+,2209.0
2018,1,MUJER,0-4,13853.0
2018,1,MUJER,10-14,12562.0
2018,1,MUJER,15-19,12180.0
2018,1,MUJER,20-24,14087.0
2018,1,MUJER,25-29,16075.0
2018,1,MUJER,30-34,14774.0
2018,1,MUJER,35-39,13627.0
2018,1,MUJER,40-44,12027.0
2018,1,MUJER,45-49,10729.0
2018,1,MUJER,5-9,14293.0
2018,1,MUJER,50-54,9699.0
2018,1,MUJER,55-59,8762.0
2018,1,MUJER,60-64,7565.0
2018,1,MUJER,65-69,5555.0
2018,1,MUJER,70-74,3749.0
2018,1,MUJER,75-79,2537.0
2018,1,MUJER,80+,3476.0
2018,2,HOMBRE,0-4,24201.0
2018,2,HOMBRE,10-14,22770.0
2018,2,HOMBRE,15-19,23599.0
2018,2,HOMBRE,20-24,27835.0
2018,2,HOMBRE,25-29,30867.0
2018,2,HOMBRE,30-34,28173.0
2018,2,HOMBRE,35-39,25929.0
2018,2,HOMBRE,40-44,24722.0
2018,2,HOMBRE,45-49,21416.0
2018,2,HOMBRE,5-9,24733.0
2018,2,HOMBRE,50-54,18692.0
2018,2,HOMBRE,55-59,16824.0
2018,2,HOMBRE,60-64,13817.0
2018,2,HOMBRE,65-69,9605.0
2018,2,HOMBRE,70-74,5433.0
2018,2,HOMBRE,75-79,3258.0
2018,2,HOMBRE,80+,3435.0
2018,2,MUJER,0-4,23268.0
2018,2,MUJER,10-14,21860.0
2018,2,MUJER,15-19,22458.0
2018,2,MUJER,20-24,27029.0
2018,2,MUJER,25-29,29730.0
2018,2,MUJER,30-34,26652.0
2018,2,MUJER,35-39,24465.0
2018,2,MUJER,40-44,23556.0
2018,2,MUJER,45-49,20295.0
2018,2,MUJER,5-9,23707.0
2018,2,MUJER,50-54,17916.0
2018,2,MUJER,55-59,16667.0
2018,2,MUJER,60-64,13864.0
2018,2,MUJER,65-69,10215.0
2018,2,MUJER,70-74,6658.0
2018,2,MUJER,75-79,4681.0
2018,2,MUJER,80+,6692.0
2018,3,HOMBRE,0-4,11534.0
2018,3,HOMBRE,10-14,11402.0
2018,3,HOMBRE,15-19,11070.0
2018,3,HOMBRE,20-24,11206.0
2018,3,HOMBRE,25-29,13066.0
2018,3,HOMBRE,30-34,12168.0
2018,3,HOMBRE,35-39,11266.0
2018,3,HOMBRE,40-44,10669.0
2018,3,HOMBRE,45-49,10044.0
2018,3,HOMBRE,5-9,12908.0
2018,3,HOMBRE,50-54,9796.0
2018,3,HOMBRE,55-59,8866.0
2018,3,HOMBRE,60-64,7452.0
2018,3,HOMBRE,65-69,5386.0
2018,3,HOMBRE,70-74,3580.0
2018,3,HOMBRE,75-79,2470.0
2018,3,HOMBRE,80+,2712.0
2018,3,MUJER,0-4,11109.0
2018,3,MUJER,10-14,10955.0
2018,3,MUJER,15-19,10257.0
2018,3,MUJER,20-24,10547.0
2018,3,MUJER,25-29,12517.0
2018,3,MUJER,30-34,11619.0
2018,3,MUJER,35-39,10526.0
2018,3,MUJER,40-44,9763.0
2018,3,MUJER,45-49,9487.0
2018,3,MUJER,5-9,12466.0
2018,3,MUJER,50-54,9639.0
2018,3,MUJER,55-59,8941.0
2018,3,MUJER,60-64,7540.0
2018,3,MUJER,65-69,5658.0
2018,3,MUJER,70-74,4021.0
2018,3,MUJER,75-79,2976.0
2018,3,MUJER,80+,4219.0
2018,4,HOMBRE,0-4,27718.0
2018,4,HOMBRE,10-14,27704.0
2018,4,HOMBRE,15-19,29021.0
2018,4,HOMBRE,20-24,30130.0
2018,4,HOMBRE,25-29,32211.0
2018,4,HOMBRE,30-34,28745.0
2018,4,HOMBRE,35-39,27633.0
2018,4,HOMBRE,40-44,26734.0
2018,4,HOMBRE,45-49,25746.0
2018,4,HOMBRE,5-9,30449.0
2018,4,HOMBRE,50-54,25183.0
2018,4,HOMBRE,55-59,21968.0
2018,4,HOMBRE,60-64,19289.0
2018,4,HOMBRE,65-69,14915.0
2018,4,HOMBRE,70-74,10851.0
2018,4,HOMBRE,75-79,7939.0
2018,4,HOMBRE,80+,9400.0
2018,4,MUJER,0-4,26716.0
2018,4,MUJER,10-14,26892.0
2018,4,MUJER,15-19,28276.0
2018,4,MUJER,20-24,29608.0
2018,4,MUJER,25-29,31911.0
2018,4,MUJER,30-34,29384.0
2018,4,MUJER,35-39,28469.0
2018,4,MUJER,40-44,28147.0
2018,4,MUJER,45-49,27115.0
2018,4,MUJER,5-9,29473.0
2018,4,MUJER,50-54,26744.0
2018,4,MUJER,55-59,23557.0
2018,4,MUJER,60-64,20824.0
2018,4,MUJER,65-69,16822.0
2018,4,MUJER,70-74,12963.0
2018,4,MUJER,75-79,10145.0
2018,4,MUJER,80+,14531.0
2018,5,HOMBRE,0-4,59186.0
2018,5,HOMBRE,10-14,61239.0
2018,5,HOMBRE,15-19,67378.0
2018,5,HOMBRE,20-24,76642.0
2018,5,HOMBRE,25-29,78200.0
2018,5,HOMBRE,30-34,69402.0
2018,5,HOMBRE,35-39,65494.0
2018,5,HOMBRE,40-44,60944.0
2018,5,HOMBRE,45-49,57557.0
2018,5,HOMBRE,5-9,63127.0
2018,5,HOMBRE,50-54,59098.0
2018,5,HOMBRE,55-59,55692.0
2018,5,HOMBRE,60-64,48700.0
2018,5,HOMBRE,65-69,39079.0
2018,5,HOMBRE,70-74,29238.0
2018,5,HOMBRE,75-79,20137.0
