series,year,cut_region,sex,count,population,crude,crude_lo,crude_hi,asr,asr_lo,asr_hi,asr_var,groups_missing,period,region
05990022,2021.0,12,MUJER,0.0,88449.0,0.0,0.0,4.170628785078334,0.0,0.0,6.798176602286051,0.0,0.0,2021,Magallanes
05990022,2021.0,12,TOTAL,7.0,179949.0,3.889991053020578,1.5639781557662813,8.014868302520368,4.97866439951423,1.9832354069605584,10.66396433527108,3.5997570711108047,0.0,2021,Magallanes
05990022,2021.0,13,HOMBRE,271.0,4071264.0,6.65640940995229,5.887416297562669,7.497942588290888,8.957674414958912,7.919237454690682,10.095600021349098,0.29820994111475707,0.0,2021,Metropolitana
05990022,2021.0,13,MUJER,98.0,4171195.0,2.3494466214118495,1.9073943336225625,2.8632228963914486,3.2166989679454097,2.605625239005438,3.9305517285763685,0.10774975898121748,0.0,2021,Metropolitana
05990022,2021.0,13,TOTAL,369.0,8242459.0,4.476819356941903,4.031639546400167,4.957727950753866,6.132580659868509,5.519631815191654,6.795741339833648,0.10299360047374606,0.0,2021,Metropolitana
05990022,2021.0,14,HOMBRE,23.0,199687.0,11.51802571023652,7.301440272548878,17.282693863312602,16.05595153235188,10.155377465890208,24.239882791819365,11.30712590444181,0.0,2021,Los Ríos
05990022,2021.0,14,MUJER,4.0,208131.0,1.9218665167610784,0.523643942337434,4.920741588424451,2.9166411144572333,0.7873267124781744,7.640302754719864,2.1497905886340303,0.0,2021,Los Ríos
05990022,2021.0,14,TOTAL,27.0,407818.0,6.620600365849472,4.363017358666066,9.632625937345123,9.590476628814582,6.306820825238359,14.028976278615248,3.4379053523684115,0.0,2021,Los Ríos
05990022,2021.0,15,HOMBRE,30.0,128511.0,23.34430515675701,15.75030465985084,33.325447156124895,29.01844191068772,19.549871594956596,41.63189837716351,28.259934327265512,0.0,2021,Arica y Parinacota
05990022,2021.0,15,MUJER,10.0,126869.0,7.882146150753927,3.7797954552589155,14.495547408758465,9.574092846760905,4.560029184762667,17.964796891028026,9.309895273487907,0.0,2021,Arica y Parinacota
05990022,2021.0,15,TOTAL,40.0,255380.0,15.662933667475919,11.189829447015807,21.32847010885115,19.56614806118015,13.955768734553423,26.761595000824347,9.65579378408271,0.0,2021,Arica y Parinacota
05990022,2021.0,16,HOMBRE,101.0,248859.0,40.58523099425779,33.057337204215614,49.31473473164744,54.310189170691146,44.19086532460419,66.15767823061408,29.484108596716716,0.0,2021,Ñuble
05990022,2021.0,16,MUJER,36.0,265649.0,13.55171673900523,9.491455799688772,18.761288199555125,19.221484518662052,13.410350056349813,26.850813826298644,10.468955509239683,0.0,2021,Ñuble
05990022,2021.0,16,TOTAL,137.0,514508.0,26.627379943557727,22.355441399122768,31.477917678262223,37.26866055195208,31.255572012915835,44.15571938617685,10.259126382889283,0.0,2021,Ñuble
05990022,2022.0,1,HOMBRE,42.0,199973.0,21.002835382776674,15.13699636074755,28.38973200306574,24.339591736143337,17.531819906592123,32.96577330096891,14.150601510246428,0.0,2022,Tarapacá
05990022,2022.0,1,MUJER,5.0,196724.0,2.5416319310302757,0.8252609697436106,5.931321078934279,2.913170362227547,0.9338977473545981,6.9622823541187655,1.727505358718375,0.0,2022,Tarapacá
05990022,2022.0,1,TOTAL,47.0,396697.0,11.847833485002408,8.70534240668968,15.7551068802252,13.85171841215577,10.169327969299253,18.460516163178646,4.102638997819497,0.0,2022,Tarapacá
05990022,2022.0,2,HOMBRE,128.0,356913.0,35.86308147924004,29.919709787260206,42.64132111099176,43.91265631021011,36.62461653523726,52.320077139847996,15.111315992974335,0.0,2022,Antofagasta
05990022,2022.0,2,MUJER,45.0,352724.0,12.757850330570077,9.305663574986239,17.071007500753794,15.782944814443198,11.489169323955473,21.189126111249237,5.600783783480194,0.0,2022,Antofagasta
05990022,2022.0,2,TOTAL,173.0,709637.0,24.378661202840327,20.881171080478065,28.294387131355542,30.23156338935411,25.883377541327427,35.11320532417144,5.310882330236146,0.0,2022,Antofagasta
05990022,2022.0,3,HOMBRE,225.0,160468.0,140.21487150085997,122.49099130332219,159.78272430112594,171.1091432375757,149.3998587033797,195.17221520745528,131.1271754952271,0.0,2022,Atacama
05990022,2022.0,3,MUJER,82.0,157536.0,52.05159455616494,41.398177856429236,64.60975341259658,64.05924510424084,50.88277719060882,79.71147933222038,50.57595985621739,0.0,2022,Atacama
05990022,2022.0,3,TOTAL,307.0,318004.0,96.53966616772117,86.04149493499767,107.96542428862715,118.69330016652364,105.73249919158124,132.8482606009581,46.28251870168398,0.0,2022,Atacama
05990022,2022.0,4,HOMBRE,232.0,420466.0,55.17687518134641,48.304704074690726,62.75255457417299,67.74370131437854,59.28171180465788,77.13379733246363,19.900834480197013,0.0,2022,Coquimbo
05990022,2022.0,4,MUJER,70.0,438303.0,15.970686944876034,12.4499339744299,20.178002165634034,20.984430357560004,16.34173592969035,26.607964260929695,6.33915839499378,0.0,2022,Coquimbo
05990022,2022.0,4,TOTAL,302.0,858769.0,35.16661640091806,31.311828125419755,39.36494484064084,44.74715403309924,39.826600075880464,50.13789195706931,6.673662036490131,0.0,2022,Coquimbo
05990022,2022.0,5,HOMBRE,418.0,975818.0,42.83585668639029,38.82730575245218,47.1458874082076,57.80153903912025,52.37613338727781,63.65948740283373,8.042566632753513,0.0,2022,Valparaíso
05990022,2022.0,5,MUJER,160.0,1019720.0,15.690581728317577,13.353518886233077,18.318984468891177,22.908766354696642,19.47926580741175,26.794511225194462,3.3148717837445014,0.0,2022,Valparaíso
05990022,2022.0,5,TOTAL,578.0,1995538.0,28.9646200673703,26.65113143473386,31.425177847996725,40.704865639965725,37.44197719126882,44.18776154266675,2.88764534965348,0.0,2022,Valparaíso
05990022,2022.0,6,HOMBRE,97.0,504711.0,19.218919341960053,15.585248899713365,23.445451740186726,25.027693293650742,20.281068853407866,30.601693336509936,6.500058372074202,0.0,2022,O'Higgins
