era,definition,first_principal,last_prior_principal,index_role,patients
2019-2020,TEA_operacional,S8230,Q647,solo_secundario,1
2019-2020,TEA_operacional,S4240,S4240,principal,1
2019-2020,TEA_operacional,S6261,Q728,solo_secundario,1
2019-2020,TEA_operacional,S5280,S5280,solo_secundario,1
2019-2020,TEA_operacional,T751,G409,solo_secundario,1
2019-2020,TEA_operacional,S5240,S5240,solo_secundario,1
2019-2020,TEA_operacional,S5200,S5200,solo_secundario,1
2019-2020,TEA_operacional,S519,S519,principal,1
2019-2020,TEA_operacional,R223,R223,solo_secundario,1
2019-2020,TEA_operacional,Q897,K219,solo_secundario,1
2019-2020,TEA_operacional,T421,T421,solo_secundario,1
2019-2020,TEA_operacional,Q871,Q218,solo_secundario,1
2019-2020,TEA_operacional,Q431,J208,solo_secundario,1
2019-2020,TEA_operacional,Q419,Q419,solo_secundario,1
2019-2020,TEA_operacional,Z048,Z048,solo_secundario,1
2019-2020,TEA_operacional,Q315,K918,solo_secundario,1
2019-2020,TEA_operacional,Q315,G409,solo_secundario,1
2019-2020,TEA_operacional,Q311,Q311,solo_secundario,1
2019-2020,TEA_operacional,Q308,J152,solo_secundario,1
2019-2020,TEA_operacional,Q282,Q282,solo_secundario,1
2019-2020,TEA_operacional,Q279,Q828,solo_secundario,1
2019-2020,TEA_operacional,Q239,J22,solo_secundario,1
2019-2020,TEA_operacional,Z133,Z133,solo_secundario,1
2019-2020,TEA_operacional,Q230,Q230,solo_secundario,1
2019-2020,TEA_operacional,Q213,Z048,solo_secundario,1
2019-2020,TEA_operacional,Q213,Q213,solo_secundario,1
2019-2020,TEA_operacional,Q079,Q079,solo_secundario,1
2019-2020,TEA_operacional,Z031,Z031,solo_secundario,1
2019-2020,TEA_operacional,Q539,Q539,solo_secundario,1
2019-2020,TEA_operacional,Q542,Z480,solo_secundario,1
2019-2020,TEA_operacional,Q680,Q680,principal,1
2019-2020,TEA_operacional,Q870,Q870,solo_secundario,1
2019-2020,TEA_operacional,Q828,Q828,solo_secundario,1
2019-2020,TEA_operacional,Q774,Q774,solo_secundario,1
2019-2020,TEA_operacional,Q753,Q753,solo_secundario,1
2019-2020,TEA_operacional,Q753,G409,solo_secundario,1
2019-2020,TEA_operacional,Q750,Q673,solo_secundario,1
2019-2020,TEA_operacional,Q674,R230,solo_secundario,1
2019-2020,TEA_operacional,Q632,H652,solo_secundario,1
2019-2020,TEA_operacional,Q665,Q665,solo_secundario,1
2019-2020,TEA_operacional,T850,T850,solo_secundario,1
2019-2020,TEA_operacional,Q651,Q651,solo_secundario,1
2019-2020,TEA_operacional,T855,K075,solo_secundario,1
2019-2020,TEA_operacional,Q641,Q641,solo_secundario,1
2019-2020,TEA_operacional,T858,T858,solo_secundario,1
2019-2020,TEA_operacional,Q038,G403,solo_secundario,1
2019-2020,TEA_operacional,K025,K025,solo_secundario,1
2019-2020,TEA_operacional,K352,T16,solo_secundario,1
2019-2020,TEA_operacional,G409,G403,solo_secundario,1
2019-2020,TEA_operacional,F432,F429,solo_secundario,1
2019-2020,TEA_operacional,F431,T391,solo_secundario,1
2019-2020,TEA_operacional,F431,F431,solo_secundario,1
2019-2020,TEA_operacional,F419,F419,solo_secundario,1
2019-2020,TEA_operacional,F412,F412,solo_secundario,1
2019-2020,TEA_operacional,F329,F329,solo_secundario,1
2019-2020,TEA_operacional,F329,F329,principal,1
2019-2020,TEA_operacional,F328,F328,solo_secundario,1
2019-2020,TEA_operacional,F323,F600,solo_secundario,1
2019-2020,TEA_operacional,F323,F412,solo_secundario,1
2019-2020,TEA_operacional,F320,T439,solo_secundario,1
2019-2020,TEA_operacional,F319,F319,solo_secundario,1
2019-2020,TEA_operacional,F316,F316,solo_secundario,1
2019-2020,TEA_operacional,F313,F313,solo_secundario,1
2019-2020,TEA_operacional,F29,F609,solo_secundario,1
2019-2020,TEA_operacional,F29,F29,solo_secundario,1
2019-2020,TEA_operacional,F28,F28,solo_secundario,1
2019-2020,TEA_operacional,F432,F432,principal,1
2019-2020,TEA_operacional,F638,R458,solo_secundario,1
2019-2020,TEA_operacional,F711,F919,solo_secundario,1
2019-2020,TEA_operacional,G060,G060,solo_secundario,1
2019-2020,TEA_operacional,G408,G409,solo_secundario,1
2019-2020,TEA_operacional,G404,R568,solo_secundario,1
2019-2020,TEA_operacional,G403,J108,solo_secundario,1
2019-2020,TEA_operacional,G403,G403,principal,1
2019-2020,TEA_operacional,G401,G401,solo_secundario,1
2019-2020,TEA_operacional,G361,G361,solo_secundario,1
2019-2020,TEA_operacional,G121,Z518,solo_secundario,1
2019-2020,TEA_operacional,G048,G048,solo_secundario,1
2019-2020,TEA_operacional,F799,F719,solo_secundario,1
2019-2020,TEA_operacional,G040,A083,solo_secundario,1
2019-2020,TEA_operacional,F920,F920,solo_secundario,1
2019-2020,TEA_operacional,F919,F918,solo_secundario,1
2019-2020,TEA_operacional,F919,F913,solo_secundario,1
2019-2020,TEA_operacional,F918,H471,solo_secundario,1
2019-2020,TEA_operacional,F913,F913,solo_secundario,1
2019-2020,TEA_operacional,F89,F89,principal,1
2019-2020,TEA_operacional,F21,F21,principal,1
2019-2020,TEA_operacional,F209,F209,solo_secundario,1
2019-2020,TEA_operacional,F141,F141,solo_secundario,1
2019-2020,TEA_operacional,B179,B179,solo_secundario,1
2019-2020,TEA_operacional,C910,D70,solo_secundario,1
2019-2020,TEA_operacional,C910,C910,solo_secundario,1
2019-2020,TEA_operacional,C73,C73,solo_secundario,1
2019-2020,TEA_operacional,C717,T850,solo_secundario,1
2019-2020,TEA_operacional,C629,K029,solo_secundario,1
2019-2020,TEA_operacional,C629,C629,solo_secundario,1
2019-2020,TEA_operacional,B24,P351,solo_secundario,1
2019-2020,TEA_operacional,B019,B019,solo_secundario,1
2019-2020,TEA_operacional,C950,C910,solo_secundario,1
2019-2020,TEA_operacional,A86,A86,solo_secundario,1
2019-2020,TEA_operacional,A492,A492,solo_secundario,1
2019-2020,TEA_operacional,A419,N10,solo_secundario,1
2019-2020,TEA_operacional,A099,S0680,solo_secundario,1
2019-2020,TEA_operacional,A099,Q044,solo_secundario,1
2019-2020,TEA_operacional,A099,J129,solo_secundario,1
2019-2020,TEA_operacional,A099,H653,solo_secundario,1
2019-2020,TEA_operacional,C920,G409,solo_secundario,1
2019-2020,TEA_operacional,D27,D27,solo_secundario,1
2019-2020,TEA_operacional,E871,G409,solo_secundario,1
2019-2020,TEA_operacional,D848,Z518,solo_secundario,1
2019-2020,TEA_operacional,E835,J040,solo_secundario,1
2019-2020,TEA_operacional,E762,Z018,solo_secundario,1
2019-2020,TEA_operacional,E760,E760,solo_secundario,1
2019-2020,TEA_operacional,E270,N801,solo_secundario,1
2019-2020,TEA_operacional,E161,G409,solo_secundario,1
2019-2020,TEA_operacional,E109,E109,principal,1
2019-2020,TEA_operacional,E108,E108,solo_secundario,1
2019-2020,TEA_operacional,D801,Z098,solo_secundario,1
2019-2020,TEA_operacional,D401,C629,solo_secundario,1
2019-2020,TEA_operacional,D70,C910,solo_secundario,1
2019-2020,TEA_operacional,D696,D70,solo_secundario,1
2019-2020,TEA_operacional,D649,D649,solo_secundario,1
2019-2020,TEA_operacional,D648,D508,solo_secundario,1
2019-2020,TEA_operacional,D619,Z511,solo_secundario,1
2019-2020,TEA_operacional,D479,J189,solo_secundario,1
2019-2020,TEA_operacional,D410,D410,solo_secundario,1
2019-2020,TEA_operacional,G409,G401,solo_secundario,1
2019-2020,TEA_operacional,G409,G408,solo_secundario,1
2019-2020,TEA_operacional,K295,K295,solo_secundario,1
2019-2020,TEA_operacional,G409,G409,principal,1
2019-2020,TEA_operacional,J352,J352,solo_secundario,1
2019-2020,TEA_operacional,J352,J352,principal,1
2019-2020,TEA_operacional,J22,R13,solo_secundario,1
2019-2020,TEA_operacional,J219,J219,solo_secundario,1
2019-2020,TEA_operacional,J219,A080,solo_secundario,1
2019-2020,TEA_operacional,J209,Q909,solo_secundario,1
2019-2020,TEA_operacional,J209,Q204,solo_secundario,1
2019-2020,TEA_operacional,J209,J459,solo_secundario,1
2019-2020,TEA_operacional,J209,J156,solo_secundario,1
2019-2020,TEA_operacional,J209,H509,solo_secundario,1
2019-2020,TEA_operacional,J209,G934,solo_secundario,1
2019-2020,TEA_operacional,J209,G122,solo_secundario,1
2019-2020,TEA_operacional,J204,J204,solo_secundario,1
2019-2020,TEA_operacional,J189,J209,solo_secundario,1
2019-2020,TEA_operacional,J189,J189,principal,1
2019-2020,TEA_operacional,J159,J129,solo_secundario,1
2019-2020,TEA_operacional,J151,J151,solo_secundario,1
