Scale,Indicator,Value type,Weight definition,Period,Subset,n,Moran's I,E[I],z,Analytic p,p (999 perm.)
Comuna,GRD F84 episodes,Crude standardised ratio,queen,2024,denominator INE base 2017,342,0.1689,−0.0029,4.64,< 0.001,0.001
Comuna,GRD F84 episodes,Empirical-Bayes smoothed standardised ratio,queen,2024,denominator INE base 2017,342,0.3190,−0.0029,8.69,< 0.001,0.001
Comuna,GRD F84 episodes,"Rate per 100,000 population",queen,2024,denominator Census 2024,342,0.1256,−0.0029,3.47,< 0.001,0.004
Comuna,GRD F84 episodes,Crude standardised ratio,queen,2024,denominator Census 2024,342,0.1096,−0.0029,3.04,0.002,0.008
Comuna,GRD F84 episodes,Empirical-Bayes smoothed standardised ratio,queen,2024,denominator Census 2024,342,0.2962,−0.0029,8.08,< 0.001,0.001
Region,GRD F84 episodes,"Rate per 100,000 population",queen (16 regions),full period,all comunas,16,0.1845,−0.0667,1.05,0.292,0.169
Region,GRD F84 episodes,Crude standardised ratio,queen (16 regions),full period,all comunas,16,0.1000,−0.0667,0.70,0.485,0.252
Region,GRD F84 episodes,Empirical-Bayes smoothed standardised ratio,queen (16 regions),full period,all comunas,16,0.0976,−0.0667,0.69,0.491,0.257
Region,GRD persons/year,"Rate per 100,000 population",queen (16 regions),full period,all comunas,16,0.1728,−0.0667,1.00,0.315,0.178
Region,GRD persons/year,Crude standardised ratio,queen (16 regions),full period,all comunas,16,0.1734,−0.0667,1.01,0.314,0.178
Region,GRD persons/year,Empirical-Bayes smoothed standardised ratio,queen (16 regions),full period,all comunas,16,0.1717,−0.0667,1.00,0.317,0.181
Region,GRD F84 principal,"Rate per 100,000 population",queen (16 regions),full period,all comunas,16,0.6032,−0.0667,2.81,0.005,0.006
Region,GRD F84 principal,Crude standardised ratio,queen (16 regions),full period,all comunas,16,0.5602,−0.0667,2.63,0.009,0.006
