Flow,Category,Code,Sex,Age group,2019,2020,2021,2022,2023,2024,2025
Entries,Childhood disintegrative disorder,05990025,Males,5–9,n/e,n/e,7 (38),4 (24),21 (40),9 (27),5 (21)
Entries,Childhood disintegrative disorder,05990025,Males,10–14,n/e,n/e,3 (38),4 (24),11 (40),2 (27),7 (21)
Entries,Childhood disintegrative disorder,05990025,Males,15–19,n/e,n/e,1 (38),2 (24),7 (40),3 (27),3 (21)
Entries,Childhood disintegrative disorder,05990025,Males,20–24,n/e,n/e,1 (38),1 (24),1 (40),2 (27),0 (21)
Entries,Childhood disintegrative disorder,05990025,Males,25–29,n/e,n/e,1 (38),0 (24),0 (40),4 (27),1 (21)
Entries,Childhood disintegrative disorder,05990025,Males,30–34,n/e,n/e,0 (38),1 (24),2 (40),1 (27),0 (21)
Entries,Childhood disintegrative disorder,05990025,Males,35–39,n/e,n/e,2 (38),0 (24),2 (40),2 (27),0 (21)
Entries,Childhood disintegrative disorder,05990025,Males,40–44,n/e,n/e,1 (38),0 (24),0 (40),0 (27),0 (21)
Entries,Childhood disintegrative disorder,05990025,Males,45–49,n/e,n/e,0 (38),0 (24),0 (40),0 (27),0 (21)
Entries,Childhood disintegrative disorder,05990025,Males,50–54,n/e,n/e,0 (38),0 (24),0 (40),1 (27),0 (21)
Entries,Childhood disintegrative disorder,05990025,Males,55–59,n/e,n/e,0 (38),1 (24),0 (40),0 (27),0 (21)
Entries,Childhood disintegrative disorder,05990025,Males,60–64,n/e,n/e,0 (38),0 (24),0 (40),0 (27),0 (21)
Entries,Childhood disintegrative disorder,05990025,Males,65–69,n/e,n/e,0 (38),0 (24),0 (40),0 (27),0 (21)
Entries,Childhood disintegrative disorder,05990025,Males,70–74,n/e,n/e,0 (38),0 (24),0 (40),0 (27),0 (21)
Entries,Childhood disintegrative disorder,05990025,Males,75–79,n/e,n/e,0 (38),0 (24),0 (40),0 (27),0 (21)
Entries,Childhood disintegrative disorder,05990025,Males,80+,n/e,n/e,0 (38),0 (24),1 (40),1 (27),0 (21)
Entries,Childhood disintegrative disorder,05990025,Males,Total,n/e,n/e,29 (38),13 (24),50 (40),27 (27),19 (21)
Entries,Childhood disintegrative disorder,05990025,Females,0–4,n/e,n/e,2 (38),0 (24),0 (40),3 (27),1 (21)
Entries,Childhood disintegrative disorder,05990025,Females,5–9,n/e,n/e,1 (38),0 (24),5 (40),2 (27),3 (21)
Entries,Childhood disintegrative disorder,05990025,Females,10–14,n/e,n/e,4 (38),4 (24),3 (40),5 (27),3 (21)
Entries,Childhood disintegrative disorder,05990025,Females,15–19,n/e,n/e,5 (38),4 (24),2 (40),5 (27),3 (21)
Entries,Childhood disintegrative disorder,05990025,Females,20–24,n/e,n/e,3 (38),0 (24),0 (40),0 (27),0 (21)
Entries,Childhood disintegrative disorder,05990025,Females,25–29,n/e,n/e,3 (38),2 (24),1 (40),1 (27),0 (21)
Entries,Childhood disintegrative disorder,05990025,Females,30–34,n/e,n/e,4 (38),3 (24),1 (40),2 (27),0 (21)
Entries,Childhood disintegrative disorder,05990025,Females,35–39,n/e,n/e,0 (38),4 (24),1 (40),0 (27),0 (21)
