ICD-10 category (3 characters),2019,2020,2021,2022,2023,2024,Total 2019–2024
L89,11 (0.5%),10 (0.6%),23 (1.0%),12 (0.3%),27 (0.4%),37 (0.4%),120
M21,11 (0.5%),3 (0.2%),10 (0.4%),17 (0.4%),31 (0.5%),47 (0.5%),119
I47 — Paroxysmal tachycardia,10 (0.4%),9 (0.6%),8 (0.3%),14 (0.4%),39 (0.6%),39 (0.4%),119
R05,2 (0.1%),5 (0.3%),25 (1.1%),25 (0.6%),22 (0.3%),39 (0.4%),118
K40 — Inguinal hernia,10 (0.4%),9 (0.6%),11 (0.5%),23 (0.6%),22 (0.3%),40 (0.5%),115
G81,10 (0.4%),13 (0.8%),16 (0.7%),18 (0.5%),19 (0.3%),39 (0.4%),115
F10 — Mental and behavioural disorders due to use of alcohol,8 (0.3%),10 (0.6%),4 (0.2%),11 (0.3%),30 (0.5%),51 (0.6%),114
P94,27 (1.2%),17 (1.1%),5 (0.2%),18 (0.5%),29 (0.5%),18 (0.2%),114
W17,12 (0.5%),9 (0.6%),11 (0.5%),16 (0.4%),24 (0.4%),40 (0.5%),112
Q25,7 (0.3%),10 (0.6%),19 (0.8%),18 (0.5%),26 (0.4%),32 (0.4%),112
Z72,5 (0.2%),1 (0.1%),7 (0.3%),9 (0.2%),30 (0.5%),59 (0.7%),111
J95,12 (0.5%),11 (0.7%),17 (0.7%),20 (0.5%),26 (0.4%),25 (0.3%),111
X41,12 (0.5%),5 (0.3%),12 (0.5%),14 (0.4%),24 (0.4%),44 (0.5%),111
R16,8 (0.3%),6 (0.4%),8 (0.3%),19 (0.5%),31 (0.5%),37 (0.4%),109
T82,5 (0.2%),9 (0.6%),9 (0.4%),19 (0.5%),28 (0.4%),39 (0.4%),109
K92 — Other diseases of digestive system,7 (0.3%),5 (0.3%),11 (0.5%),19 (0.5%),24 (0.4%),41 (0.5%),107
A49,12 (0.5%),10 (0.6%),9 (0.4%),12 (0.3%),27 (0.4%),37 (0.4%),107
F81 — Specific developmental disorders of scholastic skills,3 (0.1%),4 (0.2%),11 (0.5%),10 (0.3%),31 (0.5%),47 (0.5%),106
Q31,28 (1.2%),9 (0.6%),11 (0.5%),10 (0.3%),15 (0.2%),32 (0.4%),105
J34,8 (0.3%),4 (0.2%),6 (0.3%),14 (0.4%),27 (0.4%),45 (0.5%),104
G04,4 (0.2%),9 (0.6%),12 (0.5%),23 (0.6%),25 (0.4%),30 (0.3%),103
B37,8 (0.3%),8 (0.5%),7 (0.3%),17 (0.4%),33 (0.5%),30 (0.3%),103
Q03,9 (0.4%),12 (0.7%),10 (0.4%),23 (0.6%),28 (0.4%),20 (0.2%),102
Q43,8 (0.3%),12 (0.7%),9 (0.4%),11 (0.3%),34 (0.5%),27 (0.3%),101
Q67,6 (0.3%),12 (0.7%),9 (0.4%),22 (0.6%),21 (0.3%),31 (0.4%),101
E43,10 (0.4%),10 (0.6%),12 (0.5%),12 (0.3%),21 (0.3%),36 (0.4%),101
K01 — Embedded and impacted teeth,23 (1.0%),5 (0.3%),4 (0.2%),22 (0.6%),18 (0.3%),28 (0.3%),100
Y49,7 (0.3%),7 (0.4%),11 (0.5%),12 (0.3%),14 (0.2%),49 (0.6%),100
A04,5 (0.2%),8 (0.5%),10 (0.4%),17 (0.4%),36 (0.6%),23 (0.3%),99
R04,2 (0.1%),5 (0.3%),15 (0.6%),7 (0.2%),30 (0.5%),40 (0.5%),99
D72,3 (0.1%),7 (0.4%),10 (0.4%),9 (0.2%),29 (0.5%),41 (0.5%),99
R32,5 (0.2%),5 (0.3%),6 (0.3%),19 (0.5%),26 (0.4%),38 (0.4%),99
Q07,17 (0.7%),6 (0.4%),20 (0.8%),10 (0.3%),19 (0.3%),26 (0.3%),98
Z37,2 (0.1%),4 (0.2%),8 (0.3%),10 (0.3%),25 (0.4%),49 (0.6%),98
W44,10 (0.4%),5 (0.3%),13 (0.5%),9 (0.2%),29 (0.5%),31 (0.4%),97
