Comuna,CUT,Region,A05 entries,A05 smoothed ratio,A05 establishments,P2 December,P2 smoothed ratio,P6 primary,P6 smoothed ratio,A05 data state
Peñaflor,13605,Metropolitana,183,0.57,2,210,0.49,180,0.43,reported
Peñalolén,13122,Metropolitana,447,0.57,10,446,0.41,523,0.48,reported
Quilicura,13125,Metropolitana,498,0.57,7,558,0.51,407,0.37,reported
San Bernardo,13401,Metropolitana,613,0.56,9,894,0.64,892,0.65,reported
Casablanca,5102,Valparaíso,47,0.56,1,72,0.60,95,0.79,reported
Nancagua,6305,O'Higgins,29,0.56,4,68,0.86,58,0.75,reported
General Lagos,15202,Arica y Parinacota,0,0.56,0,0,0.39,0,0.32,No reporting establishment
Tortel,11303,Aysén,0,0.56,0,<5,0.70,<5,0.65,No reporting establishment
Coltauco,6104,O'Higgins,33,0.55,5,35,0.41,52,0.60,reported
Recoleta,13127,Metropolitana,269,0.54,7,563,0.71,162,0.21,reported
Tucapel,8312,Biobío,21,0.54,3,118,1.88,36,0.60,reported
Los Lagos,14104,Los Ríos,30,0.54,0,100,1.21,45,0.56,reported
Llanquihue,10107,Los Lagos,26,0.53,1,91,1.20,130,1.72,reported
Melipeuco,9110,La Araucanía,8,0.53,0,26,1.02,39,1.52,reported
Gorbea,9107,La Araucanía,19,0.53,0,46,0.77,50,0.84,reported
Colchane,1403,Tarapacá,<5,0.51,0,0,0.25,<5,0.32,reported
Cabrero,8303,Biobío,43,0.51,4,415,3.29,186,1.50,reported
Camiña,1402,Tarapacá,<5,0.51,0,0,0.27,<5,0.50,reported
Calle Larga,5302,Valparaíso,26,0.51,1,86,1.21,39,0.57,reported
Concón,5103,Valparaíso,67,0.51,1,200,1.04,40,0.22,reported
Lago Verde,11102,Aysén,0,0.50,0,8,1.75,<5,0.68,No reporting establishment
Cochamó,10103,Los Lagos,<5,0.49,2,<5,0.28,33,2.01,reported
Pirque,13202,Metropolitana,44,0.48,2,50,0.39,31,0.25,reported
Alto del Carmen,3302,Atacama,6,0.48,1,38,1.59,13,0.59,reported
Rauco,7305,Maule,14,0.48,1,64,1.35,57,1.22,reported
Cabildo,5402,Valparaíso,28,0.47,0,12,0.16,29,0.36,reported
Padre Las Casas,9112,La Araucanía,123,0.46,0,503,1.47,227,0.67,reported
Monte Patria,4303,Coquimbo,42,0.46,4,248,1.88,107,0.83,reported
Saavedra,9116,La Araucanía,15,0.46,0,77,1.49,46,0.92,reported
Chépica,6302,O'Higgins,17,0.46,1,14,0.24,40,0.63,reported
San Clemente,7109,Maule,61,0.46,4,263,1.36,326,1.71,reported
Dalcahue,10205,Los Lagos,19,0.46,0,65,1.05,82,1.33,reported
Guaitecas,11203,Aysén,<5,0.45,0,16,2.12,10,1.46,reported
Paine,13404,Metropolitana,117,0.45,0,462,1.31,329,0.94,reported
Camarones,15102,Arica y Parinacota,0,0.44,0,0,0.29,0,0.23,No reporting establishment
Cauquenes,7201,Maule,51,0.44,3,222,1.24,211,1.19,reported
Longaví,7403,Maule,38,0.44,2,115,0.85,183,1.37,reported
Santa Bárbara,8311,Biobío,17,0.44,2,68,1.15,29,0.51,reported
Teno,7308,Maule,37,0.44,4,123,0.96,114,0.90,reported
Villarrica,9120,La Araucanía,77,0.44,0,276,1.13,249,1.03,reported
El Quisco,5604,Valparaíso,18,0.43,2,108,1.42,55,0.74,reported
Natales,12401,Magallanes,25,0.42,2,63,0.65,88,0.90,reported
Loncoche,9109,La Araucanía,28,0.41,0,65,0.66,92,0.93,reported
Juan Fernández,5104,Valparaíso,0,0.41,0,21,3.56,20,3.67,No reporting establishment
Cobquecura,16202,Ñuble,<5,0.41,1,12,0.61,8,0.43,reported
San Vicente,6117,O'Higgins,55,0.41,1,172,0.82,165,0.80,reported
Pucón,9115,La Araucanía,35,0.41,0,41,0.34,147,1.20,reported
Porvenir,12301,Magallanes,7,0.40,1,20,0.68,18,0.61,reported
Santiago,13101,Metropolitana,390,0.40,7,168,0.08,266,0.12,reported
Padre Hurtado,13604,Metropolitana,96,0.40,1,118,0.37,115,0.36,reported
