year,age_group,sex,icd_code,hospitalizations
2021,35-39,Male,F82,3
2021,35-39,Male,F83,1
2021,35-39,Male,F84.0,13
2021,35-39,Male,F84.1,2
2021,35-39,Male,F84.5,1
2021,35-39,Male,F84.9,1
2021,35-39,Male,F89,1
2021,35-39,Male,F90.0,3
2021,40-44,Female,F80,4
2021,40-44,Female,F83,1
2021,40-44,Female,F84.0,1
2021,40-44,Female,F84.5,1
2021,40-44,Male,F80,2
2021,40-44,Male,F81,1
2021,40-44,Male,F84.0,4
2021,40-44,Male,F84.1,1
2021,40-44,Male,F84.8,1
2021,40-44,Male,F90.0,2
2021,45-49,Female,F80,1
2021,45-49,Female,F82,1
2021,45-49,Female,F84.0,1
2021,45-49,Female,F90.9,1
2021,45-49,Male,F80,6
2021,45-49,Male,F81,1
2021,45-49,Male,F82,1
2021,45-49,Male,F83,2
2021,45-49,Male,F84.0,4
2021,45-49,Male,F84.5,1
2021,45-49,Male,F84.9,1
2021,5-9,Female,F80,70
2021,5-9,Female,F81,7
2021,5-9,Female,F82,23
2021,5-9,Female,F83,26
2021,5-9,Female,F84.0,111
2021,5-9,Female,F84.2,8
2021,5-9,Female,F84.4,1
2021,5-9,Female,F84.5,7
2021,5-9,Female,F84.8,2
2021,5-9,Female,F84.9,7
2021,5-9,Female,F89,5
2021,5-9,Female,F90.0,44
2021,5-9,Female,F90.9,4
2021,5-9,Male,F80,152
2021,5-9,Male,F81,13
2021,5-9,Male,F82,30
2021,5-9,Male,F83,48
2021,5-9,Male,F84.0,497
2021,5-9,Male,F84.1,8
2021,5-9,Male,F84.2,2
2021,5-9,Male,F84.4,3
2021,5-9,Male,F84.5,35
2021,5-9,Male,F84.8,20
2021,5-9,Male,F84.9,19
2021,5-9,Male,F88,2
2021,5-9,Male,F89,6
2021,5-9,Male,F90.0,119
2021,5-9,Male,F90.1,3
2021,5-9,Male,F90.8,2
2021,5-9,Male,F90.9,9
2021,50-54,Female,F80,1
2021,50-54,Female,F84.0,2
2021,50-54,Female,F84.2,1
2021,50-54,Male,F80,1
2021,50-54,Male,F81,1
2021,50-54,Male,F83,1
2021,50-54,Male,F84.0,4
2021,50-54,Male,F84.5,1
2021,50-54,Male,F88,1
2021,55-59,Female,F80,4
2021,55-59,Female,F82,1
2021,55-59,Male,F80,6
2021,55-59,Male,F82,1
2021,55-59,Male,F84.0,1
2021,55-59,Male,F84.5,1
2021,55-59,Male,F84.8,1
2021,60-64,Female,F80,4
2021,60-64,Female,F81,1
2021,60-64,Female,F89,1
2021,60-64,Male,F80,6
2021,60-64,Male,F83,1
2021,60-64,Male,F84.5,2
2021,65-69,Female,F80,3
2021,65-69,Female,F81,1
2021,65-69,Male,F80,9
2021,65-69,Male,F84.0,2
